Student_id,Math score,Science score,English score,Percentage,Attendence
101,71,89,95,85,75
102,,55,50,61.33333333,
103,45,83,100,76,72
104,86,60,72,67,91
105,77,92,51,73.33333333,99
106,,56,96,77.33333333,85
107,54,71,45,56.66666667,62
108,94,97,56,,72
109,40,86,85,70.33333333,77
110,76,64,50,63.33333333,50
111,58,73,81,,51
112,,64,70,63.33333333,58
113,83,76,42,67,66
114,70,100,72,80.66666667,97
115,96,92,81,89.66666667,66
116,87,77,44,69.33333333,80
117,83,87,71,80.33333333,100
118,44,,77,71,51
119,50,61,84,65,89
120,84,100,66,83.33333333,64
121,71,80,61,70.66666667,98
122,46,80,81,69,84
123,45,44,,51,67
124,86,77,78,80.33333333,63
125,43,48,86,59,51
126,42,78,80,66.66666667,90
127,52,50,47,54,87
128,46,56,64,55.33333333,60
129,84,91,56,77,61
130,55,69,91,71.66666667,53
